Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Link Plano Microrregional de Resíduos Sólidos;Possui Soluções Compartilhadas;Solução;Solução Consórcio;Soluções Compartilhadas - Cidade;Custo Coleta Convencional;Custo Coleta Seletiva;Custo Disposição Final;Possui Taxa de Cobrança;Descrição da Taxa
204;2019;2018;;17/12/2019;Irará;Irará;BA;;Não;;;;2472232.52;;;Não;
71;2019;2018;;13/08/2019;IMPERATRIZ;Imperatriz;MA;;Não;;;;;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Presidente Juscelino;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Alcântara;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Axixá;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Bacabeira;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Cachoeira Grande;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Icatu;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Morros;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Paço do Lumiar;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Raposa;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Rosário;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Santa Rita;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;São José de Ribamar;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;São Luís;2403809792.13;;;Não;
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes(CONDAPAV)- CNPJ: 06.346.208/0001-43;Santana dos Montes;644;0;0;Sim;A taxa de limpeza urbana é cobrada no IPTU do município 1,15 por imóvel, atualmente são 560 imóveis cadastrados.
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes(CONDAPAV)- CNPJ: 06.346.208/0001-43;Carandaí;644;0;0;Sim;A taxa de limpeza urbana é cobrada no IPTU do município 1,15 por imóvel, atualmente são 560 imóveis cadastrados.
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes(CONDAPAV)- CNPJ: 06.346.208/0001-43;Cristiano Otoni;644;0;0;Sim;A taxa de limpeza urbana é cobrada no IPTU do município 1,15 por imóvel, atualmente são 560 imóveis cadastrados.
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes(CONDAPAV)- CNPJ: 06.346.208/0001-43;Queluzito;644;0;0;Sim;A taxa de limpeza urbana é cobrada no IPTU do município 1,15 por imóvel, atualmente são 560 imóveis cadastrados.
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes(CONDAPAV)- CNPJ: 06.346.208/0001-43;Casa Grande;644;0;0;Sim;A taxa de limpeza urbana é cobrada no IPTU do município 1,15 por imóvel, atualmente são 560 imóveis cadastrados.
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes(CONDAPAV)- CNPJ: 06.346.208/0001-43;Caranaíba;644;0;0;Sim;A taxa de limpeza urbana é cobrada no IPTU do município 1,15 por imóvel, atualmente são 560 imóveis cadastrados.
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para  Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Casa Grande;;;;Sim;
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para  Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Santana dos Montes;;;;Sim;
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para  Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Queluzito;;;;Sim;
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para  Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Cristiano Otoni;;;;Sim;
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para  Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Carandaí;;;;Sim;
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para  Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Caranaíba;;;;Sim;
91;2019;2018;;01/10/2019;Cordislândia;Cordislândia;MG;;Não;;;;;;;Não;
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;http://www.cigedas.mg.gov.br/?Meio=Pagina&INT_PAG=8324;Sim;Leilão de Recicláveis;CIGEDAS;Madre de Deus de Minas;132571.79;132571.79;132571.79;Sim;Taxa específica no boleto do IPTU
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;http://www.cigedas.mg.gov.br/?Meio=Pagina&INT_PAG=8324;Sim;Leilão de Recicláveis;CIGEDAS;Conceição da Barra de Minas;132571.79;132571.79;132571.79;Sim;Taxa específica no boleto do IPTU
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;http://www.cigedas.mg.gov.br/?Meio=Pagina&INT_PAG=8324;Sim;Leilão de Recicláveis;CIGEDAS;Lagoa Dourada;132571.79;132571.79;132571.79;Sim;Taxa específica no boleto do IPTU
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;http://www.cigedas.mg.gov.br/?Meio=Pagina&INT_PAG=8324;Sim;Leilão de Recicláveis;CIGEDAS;Coronel Xavier Chaves;132571.79;132571.79;132571.79;Sim;Taxa específica no boleto do IPTU
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;http://www.cigedas.mg.gov.br/?Meio=Pagina&INT_PAG=8324;Sim;Leilão de Recicláveis;CIGEDAS;Carrancas;132571.79;132571.79;132571.79;Sim;Taxa específica no boleto do IPTU
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;http://www.cigedas.mg.gov.br/?Meio=Pagina&INT_PAG=8324;Sim;Leilão de Recicláveis;CIGEDAS;São Tiago;132571.79;132571.79;132571.79;Sim;Taxa específica no boleto do IPTU
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Cristiano Otoni;;;;Não;
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Caranaíba;;;;Não;
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Carandaí;;;;Não;
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Casa Grande;;;;Não;
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Queluzito;;;;Não;
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.208/0001-43;Santana dos Montes;;;;Não;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.2018/0001-43;Queluzito;;;;Sim;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.2018/0001-43;Cristiano Otoni;;;;Sim;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.2018/0001-43;Caranaíba;;;;Sim;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.2018/0001-43;Casa Grande;;;;Sim;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.2018/0001-43;Carandaí;;;;Sim;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;;Sim;Triagem, compostagem e disposição final de resíduos.;Consórcio Público para Desenvolvimento da Micro Região do Alto Paraopeba e Vertentes (CONDAPAV)- CNPJ: 06.346.2018/0001-43;Santana dos Montes;;;;Sim;
109;2019;2018;;25/09/2019;Guarabira;Guarabira;PB;;Não;;;;;;;Não;
194;2019;2018;;30/12/2019;Niterói;Niterói;RJ;;Sim;Destino Final em Aterro Sanitário de São Gonçalo - CTR Alcantara;;São Gonçalo;;;;Sim;Taxa específica no mesmo boleto do IPTU
235;2019;2018;;26/12/2019;Petrópolis;Petrópolis;RJ;;Não;;;;49117089.93;1402236.22;10746264;Sim;BOLETO DE IPTU
227;2019;2018;;19/12/2019;São Fidélis;São Fidélis;RJ;;Não;;;;;;;Sim;Cobrança anual no carnê do IPTU
86;2019;2018;;19/09/2019;Ibirubá;Ibirubá;RS;;Não;;;;24700;26806.41;37637.09;Sim;"A Lei Municipal nº  510, DE 26/12/1974- CTN instituiu a Taxa de serviços urbanos, que incide a  coleta domiciliar de lixo. No artigo 247 demonstra o cálculo da taxa de serviços urbanos, que incidente sobre a coleta de lixo, que  será calculada pela aplicação do valor da UFM (Unidade Fiscal Municipal), dos percentuais fixados na TABELA IV da referida lei. Para imóveis residenciais, a metragem de testada para fins de cálculo fica limitada a 50m (cinquenta metros); para imóveis comerciais e glebas com destinação agrícola, a metragem de testada para fins de cálculo fica limitada a 100m (cem metros).  A tabela IV prevê uma progressão, conforme o que segue:* Para o exercício de 2019 - Testada do terreno, multiplicada por 0,90% (noventa centésimo por cento) da Unidade Fiscal Municipal (UFM).    * Para o exercício de 2020 - Testada do terreno. multiplicada por 1.00% (um por cento) da Unidade Fiscal Municipal (UFM).    * Para o exercício de 2021 - Testada do terreno, multiplicada por 1,10% (um inteiro e dez centésimo por cento) da Unidade Fiscal Municipal (UFM).    * Para o exercício de 2022 - Testada do terreno, multiplicada por 1,20% (um inteiro e vinte centésimo por cento) da Unidade Fiscal Municipal (UFM).    * Para o exercício de 2023 - Testada do terreno, multiplicada por 1,30% (um inteiro e trinta centésimo por cento) da Unidade Fiscal Municipal (UFM).    * Para o exercício de 2024 e seguintes - Testada do terreno, multiplicada por 1,40% (um inteiro e quarenta centésimo por cento) da Unidade Fiscal Municipal (UFM)."
224;2019;2018;;09/12/2019;Ascurra;Ascurra;SC;;Sim;;;;;;;Não;
238;2019;2018;;28/12/2019;Balneário Piçarras;Balneário Piçarras;SC;https://static.fecam.net.br/uploads/1527/arquivos/361760_PMGIRS_Balneario_Picarras.pdf;Sim;Aterro Sanitário;;Brusque;;;;Sim;Tarifa de Coleta de Lixo (TCL): estabelecida para o ano 2018 no Decreto Municipal nº 76/2017.
176;2019;2018;;30/10/2019;BLUMENAU;Blumenau;SC;;Sim;Transbordo;Recicle Catarinense de Resíduos Ltda;Brusque;15088955.81;3032532.21;15851509.35;Sim;taxa específica no boleto de água 
149;2019;2018;;06/11/2019;Bom Retiro;Bom Retiro;SC;;Não;;;;229083.69;0;172620.67;Não;
187;2019;2018;;30/10/2019;Brunópolis;Brunópolis;SC;;Não;;;;;;;Não;
124;2019;2018;;03/10/2019;Chapecó;Chapecó;SC;;Não;;;;;;;Sim;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Luiz Alves;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Ascurra;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Rodeio;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Benedito Novo;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Indaial;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Massaranduba;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Botuverá;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Pomerode;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Rio dos Cedros;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Timbó;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Ilhota;;;;Não;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;;Sim;ATERRO SANITÁRIO;CIMVI 03.111.139/0001-09;Apiúna;;;;Não;
150;2019;2018;;15/10/2019;Galvão;Galvão;SC;;Não;;;;;;;Não;
119;2019;2018;;15/10/2019;Garuva;Garuva;SC;;Não;;;;;;;Não;
199;2019;2018;;18/12/2019;Gaspar;Gaspar;SC;https://cimvi.sc.gov.br/plano-intermunicipal-de-gestao-de-residuos-solidos/;Não;;;;2435084.32;530934.04;2939476.57;Sim;Taxa de coleta de resíduos sólidos urbanos
145;2019;2018;;05/12/2019;Guabiruba;Guabiruba;SC;;Não;;;;;;;Não;
115;2019;2018;;15/10/2019;Ibicaré;Ibicaré;SC;;Não;;;;155998.5;0;155998.5;Sim;Taxa específica no mesmo boleto do IPTU
120;2019;2018;;05/11/2019;Irineópolis;Irineópolis;SC;;Não;;;;410200;24800;435000;Sim;Taxa de coleta de lixo que custeia 50% do valor investido na coleta de lixo.
153;2019;2018;;08/10/2019;Itapiranga;Itapiranga;SC;;Não;;;;210240;137520;231840;Sim;Taxa cobrada juntamente com a fatura de água mensal, calculada conforme critérios de local de coleta, número de coletas semanais, entre outros.
111;2019;2018;;26/09/2019;Jaraguá do Sul;Jaraguá do Sul;SC;https://www.amvali.org.br/cms/diretorio/index/codMapaItem/44792;Sim;;;;252.35;387.85;186.36;Sim;faturamento médio de R$ 20,94 por economia.
216;2019;2018;;22/11/2019;LAURO MULLER;LAURO MULLER;SC;http://www.cirsures.sc.gov.br/institucional/documentos/download/pdf/dbb3d789ee6f900851b321f023dccd34/plano-intermunicipal-de-gestao-integrada-de-residuos-solidos_2013-05-07.pdf;Não;;;;136631.24;44334.93;180966.17;Sim;Taxa cobrada junto ao IPTU
173;2019;2018;;14/10/2019;Mafra;Mafra;SC;;Não;;;;;;;Sim;
161;2019;2018;;15/10/2019;Meleiro;Meleiro;SC;;Não;;;;;;;Não;
177;2019;2018;;16/10/2019;Monte Castelo;Monte Castelo;SC;https://www.mma.gov.br/images/arquivo/80058/Regionalizacao/Pl%20Diretor%20RSU_SC%202014.pdf;Não;;;;216343.86;0;216343.86;Sim;Taxa específica no mesmo boleto do IPTU
166;2019;2018;;11/10/2019;Morro Grande;Morro Grande;SC;;Não;;;;60000;;42000;Sim;Cobrada apenas nos cadastros urbanos junto ao IPTU
190;2019;2018;;23/10/2019;Ouro;Ouro;SC;;Não;;;;50000;;;Não;
132;2019;2018;;19/11/2019;Passos Maia;Passos Maia;SC;;Não;;;;;;;Sim;
208;2019;2018;;11/11/2019;POUSO REDONDO;Pouso Redondo;SC;;Não;;;;;;;Não;
171;2019;2018;;17/10/2019;Rancho Queimado;Rancho Queimado;SC;;Não;;;;;13000;5000;Sim;Taxa coleta seletiva
231;2019;2018;;19/12/2019;Rio das Antas;Rio das Antas;SC;https://we.tl/t-5LJJqCEjh3 ;Não;;;;60000;;200000;Sim;Cobrada juntamente com o IPTU, no valor de aproximadamente cento e quarenta reais.
139;2019;2018;;14/10/2019;São Bento do Sul;São Bento do Sul;SC;;Não;;;;2709314.36;414867.96;1254782.68;Sim;Tarifa de acordo com a categoria do contribuinte e peridiocidade de coleta semanal
116;2019;2018;;02/10/2019;São José do Cedro;São José do Cedro;SC;;Não;;;;273720;0;185880;Sim;COLETA DE LIXO
128;2019;2018;;03/10/2019;Saudades;Saudades;SC;;Não;;;;;;;Não;
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Pomerode;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Luiz Alves;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Ilhota;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Timbó;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Rodeio;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Rio dos Cedros;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Massaranduba;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Indaial;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Guabiruba;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Gaspar;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Doutor Pedrinho;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Botuverá;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Benedito Novo;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Apiúna;;;;Sim;A taxa é cobrada diretamente na fatura de água
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;;Sim;CONSÓRCIO INTERMUNICIPAL DO MÉDIO VALE DO ITAJAÍ;ATERRO SANITÁRIO;Ascurra;;;;Sim;A taxa é cobrada diretamente na fatura de água
179;2019;2018;;16/10/2019;Xavantina;Xavantina;SC;https://static.fecam.net.br/uploads/1536/arquivos/939779_VOLUME_3_Arvoredo_intermunicipal_AMAUC.pdf;Não;;;;348866.4;0;0;Sim;Coleta de Lixo - T.C.R. - Taxa no Boleto do IPTU
141;2019;2018;;07/10/2019;Xaxim;Xaxim;SC;;Não;;;;;;;Não;
182;2019;2018;;17/10/2019;QUINTANA;Quintana;SP;;Não;;;;;;;Não;
65;2019;2018;;17/09/2019;São Caetano do Sul;São Caetano do Sul;SP;;Não;;;;11193520.94;1406587.54;7114636.06;Sim;Taxa de coleta, remoção e destinação final de resíduos sólidos, conforme Lei Complementar nº 008/2017 e 11/2018.
156;2019;2018;;08/10/2019;Socorro;Socorro;SP;;Não;;;;;;;Não;
82;2019;2018;;23/09/2019;Abreulândia;Abreulândia;TO;;Não;;;;;;;Não;
78;2019;2018;;02/09/2019;ANANÁS;Ananás;TO;;Não;;;;;;;Não;
